SOC,Course,Description,Credit,Comp,Professor
3040,CSC 121A ,Computer Science I,1,Q,Khadija Stewart
3041,CSC 121B ,Computer Science I,1,Q,Gloria Townsend
3042,CSC 121C ,Computer Science I,1,Q,Maria Schwartzman
1130,CSC 122A ,Data Structures,1,,Chad Byers
1131,CSC 122B ,Data Structures,1,,Steven Bogaerts
1132,CSC 197A ,FYS: Seduced By A Machine,1,,Gloria Townsend
1133,CSC 231A ,Computer Systems,1,,Khadija Stewart
1134,CSC 231B ,Computer Systems,1,,Steven Bogaerts
1733,CSC 231C ,Computer Systems,1,,Khadija Stewart
1135,CSC 232A ,ObjctOrientedSoftwareDev,1,,Chad Byers
1136,CSC 232B ,ObjctOrientedSoftwareDev,1,,Scott Thede
1137,CSC 233A ,Foundations of Computatn,1,,Brian Howard
1702,CSC 233B ,Foundations of Computatn,1,,Brian Howard
1138,CSC 240A ,Writing/Computer Science,0.5,,David Berque
1139,CSC 340A ,Web Progr&Cybersecurity,1,,Khadija Stewart
1140,CSC 350A ,Graphics,1,,Chad Byers
1735,CSC 360A ,Autonomous Robotics,1,,Gloria Townsend
1739,CSC 396A ,Tps:Survey of Twitter to Gather Epidemiological Data,1,,Khadija Stewart
1141,CSC 424A ,Programming Languages,1,,Brian Howard
1142,CSC 440A ,Theory of Computation,1,,Scott Thede
1143,CSC 498A ,Senior Project,1,S,Steven Bogaerts
1144,CSC 498B ,Senior Project,1,S,Maria Schwartzman
